"hgnc_symbol	ensembl_gene_id	gene_biotype"
"HCK	ENSG00000101336	protein_coding"
"CATSPERG	ENSG00000099338	protein_coding"
"ATPAF2	ENSG00000171953	protein_coding"
"SALL3	ENSG00000256463	protein_coding"
"PTGFR	ENSG00000122420	protein_coding"
"DNMBP	ENSG00000107554	protein_coding"
"JPH1	ENSG00000104369	protein_coding"
"PES1	ENSG00000100029	protein_coding"
"HMGN2P27	ENSG00000232916	processed_pseudogene"
"MEIS3P1	ENSG00000179277	processed_pseudogene"
"FGL1	ENSG00000104760	protein_coding"
"TXNDC17	ENSG00000129235	protein_coding"
"KIAA0753	ENSG00000198920	protein_coding"
"PPIAP31	ENSG00000217094	processed_pseudogene"
"MMS19	ENSG00000155229	protein_coding"
"POLD2P1	ENSG00000213730	processed_pseudogene"
"ASAH1	ENSG00000104763	protein_coding"
"GUCA2A	ENSG00000197273	protein_coding"
"MSX2	ENSG00000120149	protein_coding"
"LAMA1	ENSG00000101680	protein_coding"
"TSPAN7	ENSG00000156298	protein_coding"
"RPL7AP33	ENSG00000254200	processed_pseudogene"
"SUCLA2	ENSG00000136143	protein_coding"
"BOD1	ENSG00000145919	protein_coding"
"SLU7	ENSG00000164609	protein_coding"
"GRAPL	ENSG00000189152	protein_coding"
"GPD1	ENSG00000167588	protein_coding"
"RPL34P31	ENSG00000239223	processed_pseudogene"
"SLC47A1	ENSG00000142494	protein_coding"
"SRGAP3-AS1	ENSG00000224808	lncRNA"
"CDKL2	ENSG00000138769	protein_coding"
"DERL3	ENSG00000099958	protein_coding"
"MARK2P14	ENSG00000231897	unprocessed_pseudogene"
"KRT8P49	ENSG00000271602	processed_pseudogene"
"OR51F3P	ENSG00000272559	unprocessed_pseudogene"
"SLC35B2	ENSG00000157593	protein_coding"
"OR52J3	ENSG00000205495	protein_coding"
"OR52E2	ENSG00000176787	protein_coding"
"HBB	ENSG00000244734	protein_coding"
"CETN1	ENSG00000177143	protein_coding"
"RN7SL268P	ENSG00000244425	misc_RNA"
"TYMS	ENSG00000176890	protein_coding"
"PSG9	ENSG00000183668	protein_coding"
"PLCB2-AS1	ENSG00000259307	lncRNA"
"HBD	ENSG00000223609	protein_coding"
"RPS24P8	ENSG00000224094	processed_pseudogene"
"SUSD2	ENSG00000099994	protein_coding"
"HBG2	ENSG00000196565	protein_coding"
"HBE1	ENSG00000213931	protein_coding"
"WSB1	ENSG00000109046	protein_coding"
"GNAI2	ENSG00000114353	protein_coding"
"ME1	ENSG00000065833	protein_coding"
"OR51AB1P	ENSG00000229093	unprocessed_pseudogene"
"OR51B4	ENSG00000183251	protein_coding"
"OR51B3P	ENSG00000223735	unprocessed_pseudogene"
"OR51B8P	ENSG00000236359	unprocessed_pseudogene"
"OR51B6	ENSG00000176239	protein_coding"
"ENOSF1	ENSG00000132199	protein_coding"
"MIA-RAB4B	ENSG00000268975	protein_coding"
"OR51J1	ENSG00000184321	unprocessed_pseudogene"
"OR51Q1	ENSG00000167360	protein_coding"
"OR51K1P	ENSG00000248424	unprocessed_pseudogene"
"OR51A10P	ENSG00000230484	unitary_pseudogene"
"OR52D1	ENSG00000181609	protein_coding"
"UBQLN3	ENSG00000175520	protein_coding"
"RN7SKP9	ENSG00000201793	misc_RNA"
"FBXO27	ENSG00000161243	protein_coding"
"GPR183	ENSG00000169508	protein_coding"
"UBQLNL	ENSG00000175518	protein_coding"
"SNORA31	ENSG00000199477	snoRNA"
"RCN1P2	ENSG00000214455	processed_pseudogene"
"SLC25A30-AS1	ENSG00000251015	lncRNA"
"OLFM5P	ENSG00000224295	unitary_pseudogene"
"OR52V1P	ENSG00000249633	unprocessed_pseudogene"
"OR52H2P	ENSG00000248553	unitary_pseudogene"
"RNA5SP39	ENSG00000223177	rRNA_pseudogene"
"OR52T1P	ENSG00000233646	unprocessed_pseudogene"
"HNRNPA1P53	ENSG00000229534	processed_pseudogene"
"OR52B6	ENSG00000187747	protein_coding"
"ESD	ENSG00000139684	protein_coding"
"TRIM6	ENSG00000121236	protein_coding"
"RPL9P32	ENSG00000242100	processed_pseudogene"
"SPP2	ENSG00000072080	protein_coding"
"HTR2A	ENSG00000102468	protein_coding"
"TARDBPP2	ENSG00000238213	processed_pseudogene"
"POU3F2	ENSG00000184486	protein_coding"
"TMSB15A	ENSG00000158164	protein_coding"
"NDUFA5P9	ENSG00000220831	processed_pseudogene"
"NPM1P38	ENSG00000219257	processed_pseudogene"
"PRDM1	ENSG00000057657	protein_coding"
"SMIM17	ENSG00000268182	protein_coding"
"ZNF835	ENSG00000127903	protein_coding"
"PEMT	ENSG00000133027	protein_coding"
"CD177	ENSG00000204936	protein_coding"
"TRIM6-TRIM34	ENSG00000258588	protein_coding"
"ARL3	ENSG00000138175	protein_coding"
"RANBP17	ENSG00000204764	protein_coding"
"HPSE2	ENSG00000172987	protein_coding"
"OR52U1P	ENSG00000232381	unprocessed_pseudogene"
"OR56B1	ENSG00000181023	protein_coding"
"OR52N3P	ENSG00000236965	unprocessed_pseudogene"
"OR52E6	ENSG00000205409	protein_coding"
"OR52E7P	ENSG00000233563	unprocessed_pseudogene"
"MRGPRG	ENSG00000182170	protein_coding"
"MRGPRG-AS1	ENSG00000236301	lncRNA"
"RAB4B	ENSG00000167578	protein_coding"
"MRGPRE	ENSG00000184350	protein_coding"
"ADAM23	ENSG00000114948	protein_coding"
"ZNF195	ENSG00000005801	protein_coding"
"RNU1-109P	ENSG00000206687	snRNA"
"ENO4	ENSG00000188316	protein_coding"
"CST1	ENSG00000170373	protein_coding"
"CST4	ENSG00000101441	protein_coding"
"MEIS3P2	ENSG00000188013	processed_pseudogene"
"NHLRC2	ENSG00000196865	protein_coding"
"MED31	ENSG00000108590	protein_coding"
"SNORA59B	ENSG00000266079	snoRNA"
"USP22	ENSG00000124422	protein_coding"
"EMX2	ENSG00000170370	protein_coding"
"OPALIN	ENSG00000197430	protein_coding"
"RNF150	ENSG00000170153	protein_coding"
"RCBTB2	ENSG00000136161	protein_coding"
"MTND1P14	ENSG00000227225	unprocessed_pseudogene"
"LEP	ENSG00000174697	protein_coding"
"TXNDC8	ENSG00000204193	protein_coding"
"GALNT5	ENSG00000136542	protein_coding"
"GNAT3	ENSG00000214415	protein_coding"
"UGT2B26P	ENSG00000250919	unprocessed_pseudogene"
"OR7E12P	ENSG00000189398	unprocessed_pseudogene"
"FAM86GP	ENSG00000166492	unprocessed_pseudogene"
"SPATS1	ENSG00000249481	protein_coding"
"GAPDHP45	ENSG00000228312	processed_pseudogene"
"RPS3AP39	ENSG00000237226	processed_pseudogene"
"RPS24P14	ENSG00000223688	processed_pseudogene"
"PAGE2	ENSG00000234068	protein_coding"
"LINC00867	ENSG00000232139	lncRNA"
"CYP4F29P	ENSG00000228314	transcribed_unprocessed_pseudogene"
"ERLIN1	ENSG00000107566	protein_coding"
"HSPBP1	ENSG00000133265	protein_coding"
"DPM1	ENSG00000000419	protein_coding"
"TMEM115	ENSG00000126062	protein_coding"
"BRINP1	ENSG00000078725	protein_coding"
"GNAT1	ENSG00000114349	protein_coding"
"AFG3L2	ENSG00000141385	protein_coding"
"KCNG1	ENSG00000026559	protein_coding"
"GSTO2	ENSG00000065621	protein_coding"
"FTMT	ENSG00000181867	protein_coding"
"UBALD1	ENSG00000153443	protein_coding"
"WARS1P1	ENSG00000225802	unprocessed_pseudogene"
"HMGB1P7	ENSG00000231148	processed_pseudogene"
"RNU6-163P	ENSG00000207124	snRNA"
"RNA5SP299	ENSG00000212505	rRNA_pseudogene"
"UQCRFS1	ENSG00000169021	protein_coding"
"RNU6-1095P	ENSG00000251957	snRNA"
"RNA5SP300	ENSG00000212499	rRNA_pseudogene"
"RNU2-18P	ENSG00000223156	snRNA"
"HYAL1	ENSG00000114378	protein_coding"
"RNU6-1141P	ENSG00000201390	snRNA"
"RNU6ATAC39P	ENSG00000252118	snRNA"
"MIR4480	ENSG00000263584	miRNA"
"MIR548Q	ENSG00000221331	miRNA"
"SMCR5	ENSG00000226746	lncRNA"
"RN7SKP219	ENSG00000252634	misc_RNA"
"RN7SKP37	ENSG00000201364	misc_RNA"
"ALKBH5	ENSG00000091542	protein_coding"
"CHTF18	ENSG00000127586	protein_coding"
"MIR604	ENSG00000207612	miRNA"
"MIR938	ENSG00000216035	miRNA"
"RNU6-908P	ENSG00000222092	snRNA"
"RN7SL825P	ENSG00000239731	misc_RNA"
"RN7SL398P	ENSG00000244356	misc_RNA"
"RNU6-1118P	ENSG00000222314	snRNA"
"RNU6-795P	ENSG00000252132	snRNA"
"RNA5SP324	ENSG00000202047	rRNA_pseudogene"
"SNORA12	ENSG00000212464	snoRNA"
"DRG2	ENSG00000108591	protein_coding"
"RNU6-422P	ENSG00000207362	snRNA"
"FILIP1	ENSG00000118407	protein_coding"
"RNU6-1165P	ENSG00000222051	snRNA"
"RNU2-59P	ENSG00000222414	snRNA"
"RNU2-42P	ENSG00000222629	snRNA"
"SNORA19	ENSG00000207468	snoRNA"
"ST13P12	ENSG00000248400	processed_pseudogene"
"MIR4484	ENSG00000265092	miRNA"
"RN7SL749P	ENSG00000242853	misc_RNA"
"RNU6-728P	ENSG00000202245	snRNA"
"MIR4681	ENSG00000265719	miRNA"
"RNA5SP328	ENSG00000222740	rRNA_pseudogene"
"MIR3941	ENSG00000265442	miRNA"
"LRRC27	ENSG00000148814	protein_coding"
"VN1R21P	ENSG00000224752	unitary_pseudogene"
"NPRL2	ENSG00000114388	protein_coding"
"GPR63	ENSG00000112218	protein_coding"
"RPL35P3	ENSG00000219902	processed_pseudogene"
"PRDX2P4	ENSG00000213177	processed_pseudogene"
"TREM1	ENSG00000124731	protein_coding"
"BRSK1	ENSG00000160469	protein_coding"
"ANXA1	ENSG00000135046	protein_coding"
"TPT1P2	ENSG00000228111	processed_pseudogene"
"SUMO2P8	ENSG00000228976	processed_pseudogene"
"LINC01165	ENSG00000229081	lncRNA"
"PSD	ENSG00000059915	protein_coding"
"IBTK	ENSG00000005700	protein_coding"
"SETBP1	ENSG00000152217	protein_coding"
"GALNT17	ENSG00000185274	protein_coding"
"NEGR1	ENSG00000172260	protein_coding"
"HSPE1P9	ENSG00000232690	unprocessed_pseudogene"
"TALDO1	ENSG00000177156	protein_coding"
"ADSL	ENSG00000239900	protein_coding"
"EPSTI1	ENSG00000133106	protein_coding"
"XRCC6P4	ENSG00000253517	processed_pseudogene"
"CUEDC2	ENSG00000107874	protein_coding"
"TTPA	ENSG00000137561	protein_coding"
"KCTD6	ENSG00000168301	protein_coding"
"MIR146B	ENSG00000202569	miRNA"
"ZNF578	ENSG00000258405	protein_coding"
"C10orf95	ENSG00000120055	protein_coding"
"YTHDF3	ENSG00000185728	protein_coding"
"ACTR1A	ENSG00000138107	protein_coding"
"NR3C2	ENSG00000151623	protein_coding"
"AIPL1	ENSG00000129221	protein_coding"
"NDUFAF4P3	ENSG00000236411	processed_pseudogene"
"RNU6-43P	ENSG00000207029	snRNA"
"EIF4BP2	ENSG00000228753	processed_pseudogene"
"NPM1P30	ENSG00000228219	processed_pseudogene"
"NEBL-AS1	ENSG00000231920	lncRNA"
"COL4A2-AS2	ENSG00000224821	lncRNA"
"COL4A2-AS1	ENSG00000232814	lncRNA"
"STMN3	ENSG00000197457	protein_coding"
"CARS2	ENSG00000134905	protein_coding"
"NEFL	ENSG00000277586	protein_coding"
"GNAZ	ENSG00000128266	protein_coding"
"CEND1	ENSG00000184524	protein_coding"
"GSDMC	ENSG00000147697	protein_coding"
"RASGRP4	ENSG00000171777	protein_coding"
"ANKRD1	ENSG00000148677	protein_coding"
"SLC25A22	ENSG00000177542	protein_coding"
"LINC00502	ENSG00000224851	lncRNA"
"ANO10	ENSG00000160746	protein_coding"
"FBXO39	ENSG00000177294	protein_coding"
"LIFR	ENSG00000113594	protein_coding"
"MTND2P12	ENSG00000228725	unprocessed_pseudogene"
"RPS16P8	ENSG00000213664	processed_pseudogene"
"TMEM144	ENSG00000164124	protein_coding"
"METTL22	ENSG00000067365	protein_coding"
"HSPA9P1	ENSG00000226666	processed_pseudogene"
"ING1	ENSG00000153487	protein_coding"
"RN7SL597P	ENSG00000244264	misc_RNA"
"KBTBD6	ENSG00000165572	protein_coding"
"CALM2P3	ENSG00000215482	processed_pseudogene"
"KBTBD7	ENSG00000120696	protein_coding"
"MORF4L1P4	ENSG00000225133	processed_pseudogene"
"MTRF1	ENSG00000120662	protein_coding"
"AARS2	ENSG00000124608	protein_coding"
"ALDH1A2	ENSG00000128918	protein_coding"
"RAC1P3	ENSG00000231404	processed_pseudogene"
"NAA16	ENSG00000172766	protein_coding"
"TPI1P3	ENSG00000186743	processed_pseudogene"
"BRD7P4	ENSG00000218676	processed_pseudogene"
"MCHR2-AS1	ENSG00000229315	lncRNA"
"TUBB3P1	ENSG00000220418	processed_pseudogene"
"CEP85L	ENSG00000111860	protein_coding"
"CALN1	ENSG00000183166	protein_coding"
"RNU6-57P	ENSG00000223280	snRNA"
"TUBBP2	ENSG00000214222	processed_pseudogene"
"OR7E36P	ENSG00000205240	unprocessed_pseudogene"
"RGCC	ENSG00000102760	protein_coding"
"VWA8	ENSG00000102763	protein_coding"
"SHISA9	ENSG00000237515	protein_coding"
"NEPNP	ENSG00000218233	unitary_pseudogene"
"LINC00222	ENSG00000203801	lncRNA"
"C3orf18	ENSG00000088543	protein_coding"
"MCHR2	ENSG00000152034	protein_coding"
"BDH2P1	ENSG00000232699	processed_pseudogene"
"LINC02266	ENSG00000272727	lncRNA"
"MRPL22	ENSG00000082515	protein_coding"
"IL6STP1	ENSG00000227018	processed_pseudogene"
"ZNF652P1	ENSG00000235278	processed_pseudogene"
"TUSC2	ENSG00000114383	protein_coding"
"RN7SL515P	ENSG00000241406	misc_RNA"
"RNU6-74P	ENSG00000206962	snRNA"
"MIR4297	ENSG00000266676	miRNA"
"PTPRG	ENSG00000144724	protein_coding"
"RAP2A	ENSG00000125249	protein_coding"
"LPAR6	ENSG00000139679	protein_coding"
"MTND1P21	ENSG00000235940	processed_pseudogene"
"MIR1915	ENSG00000222071	miRNA"
"SKIDA1	ENSG00000180592	protein_coding"
"RNU6-306P	ENSG00000207347	snRNA"
"OLAH	ENSG00000152463	protein_coding"
"SNORD3B-1	ENSG00000265185	snoRNA"
"ACO2	ENSG00000100412	protein_coding"
"GID4	ENSG00000141034	protein_coding"
"ILF2P1	ENSG00000244226	processed_pseudogene"
"SMARCC1	ENSG00000173473	protein_coding"
"ARL4C	ENSG00000188042	protein_coding"
"SMYD5	ENSG00000135632	protein_coding"
"BCAS4	ENSG00000124243	protein_coding"
"TSPYL4	ENSG00000187189	protein_coding"
"RPLP2	ENSG00000177600	protein_coding"
"SOCS5P5	ENSG00000216904	processed_pseudogene"
"PNPLA2	ENSG00000177666	protein_coding"
"CBX3P9	ENSG00000217241	processed_pseudogene"
"CNTN4	ENSG00000144619	protein_coding"
"ICOS	ENSG00000163600	protein_coding"
"SUFU	ENSG00000107882	protein_coding"
"DUSP15	ENSG00000149599	protein_coding"
"C14orf180	ENSG00000184601	protein_coding"
"TPM3P8	ENSG00000183022	processed_pseudogene"
"MDH1B	ENSG00000138400	protein_coding"
"CYP1A2	ENSG00000140505	protein_coding"
"CD151	ENSG00000177697	protein_coding"
"PLP1	ENSG00000123560	protein_coding"
"NRAP	ENSG00000197893	protein_coding"
"HYAL2	ENSG00000068001	protein_coding"
"SLC35E1P1	ENSG00000238286	processed_pseudogene"
"BARD1	ENSG00000138376	protein_coding"
"PRSS35	ENSG00000146250	protein_coding"
"KRT8P39	ENSG00000233560	processed_pseudogene"
"CD22	ENSG00000012124	protein_coding"
"NFKBIE	ENSG00000146232	protein_coding"
"SPATA12	ENSG00000186451	protein_coding"
"PRICKLE2-AS3	ENSG00000226017	lncRNA"
"ABHD5	ENSG00000011198	protein_coding"
"MED21	ENSG00000152944	protein_coding"
"C5orf47	ENSG00000185056	protein_coding"
"AP1B1	ENSG00000100280	protein_coding"
"NKX2-5	ENSG00000183072	protein_coding"
"ADRA1B	ENSG00000170214	protein_coding"
"PTGER4	ENSG00000171522	protein_coding"
"POLR2L	ENSG00000177700	protein_coding"
"TMEM74B	ENSG00000125895	protein_coding"
"CHID1	ENSG00000177830	protein_coding"
"NLN	ENSG00000123213	protein_coding"
"RPL5P19	ENSG00000220553	processed_pseudogene"
"NAT1	ENSG00000171428	protein_coding"
"ELOVL4	ENSG00000118402	protein_coding"
"VGLL2	ENSG00000170162	protein_coding"
"NATP	ENSG00000253937	unprocessed_pseudogene"
"BRD7P3	ENSG00000169075	processed_pseudogene"
"SLC25A5P7	ENSG00000218180	processed_pseudogene"
"REV3L	ENSG00000009413	protein_coding"
"SLC45A4	ENSG00000022567	protein_coding"
"SFMBT1	ENSG00000163935	protein_coding"
"LTC4S	ENSG00000213316	protein_coding"
"CCDC198	ENSG00000100557	protein_coding"
"RNU6-946P	ENSG00000206605	snRNA"
"RNU6-490P	ENSG00000199855	snRNA"
"DRD1	ENSG00000184845	protein_coding"
"MASTL	ENSG00000120539	protein_coding"
"IFNA10	ENSG00000186803	protein_coding"
"LINC01933	ENSG00000254226	lncRNA"
"GPR20	ENSG00000204882	protein_coding"
"HNRNPA1P38	ENSG00000253605	processed_pseudogene"
"SYNPO	ENSG00000171992	protein_coding"
"MAPKAPK3	ENSG00000114738	protein_coding"
"RNU2-24P	ENSG00000252639	snRNA"
"RNU7-12P	ENSG00000251839	snRNA"
"LRRC37A6P	ENSG00000230445	transcribed_processed_pseudogene"
"RPL7AP8	ENSG00000230507	processed_pseudogene"
"ANKRD26	ENSG00000107890	protein_coding"
"TNNI3	ENSG00000129991	protein_coding"
"IGLL3P	ENSG00000206066	unprocessed_pseudogene"
"IGLVIVOR22-1	ENSG00000271138	IG_V_pseudogene"
"APOBEC3D	ENSG00000243811	protein_coding"
"RPL10AP6	ENSG00000226360	processed_pseudogene"
"VGLL3	ENSG00000206538	protein_coding"
"RPL13AP5	ENSG00000236552	processed_pseudogene"
"HMGN2P35	ENSG00000232875	processed_pseudogene"
"SLIT1	ENSG00000187122	protein_coding"
"GBE1	ENSG00000114480	protein_coding"
"CBFA2T2	ENSG00000078699	protein_coding"
"NDRG1	ENSG00000104419	protein_coding"
"EEF1GP2	ENSG00000250346	processed_pseudogene"
"CNOT6	ENSG00000113300	protein_coding"
"RHBDL3	ENSG00000141314	protein_coding"
"RPL17P17	ENSG00000223409	processed_pseudogene"
"GJA1	ENSG00000152661	protein_coding"
"HNRNPA3P8	ENSG00000239699	processed_pseudogene"
"HMGB1P38	ENSG00000243877	processed_pseudogene"
"DOCK3	ENSG00000088538	protein_coding"
"IL17B	ENSG00000127743	protein_coding"
"SYT5	ENSG00000129990	protein_coding"
"GABRP	ENSG00000094755	protein_coding"
"PRPSAP2	ENSG00000141127	protein_coding"
"MRPL40P1	ENSG00000256037	processed_pseudogene"
"GXYLT2	ENSG00000172986	protein_coding"
"KRT18P22	ENSG00000218153	processed_pseudogene"
"NUS1	ENSG00000153989	protein_coding"
"GLRA3	ENSG00000145451	protein_coding"
"LINC01287	ENSG00000234722	lncRNA"
"PTPRH	ENSG00000080031	protein_coding"
"ADSS1	ENSG00000185100	protein_coding"
"APOL4	ENSG00000100336	protein_coding"
"FBXO8	ENSG00000164117	protein_coding"
"STRIP2	ENSG00000128578	protein_coding"
"CTAGE10P	ENSG00000181358	processed_pseudogene"
"SPRYD7	ENSG00000123178	protein_coding"
"PECR	ENSG00000115425	protein_coding"
"NET1	ENSG00000173848	protein_coding"
"DAOA-AS1	ENSG00000232307	lncRNA"
"UTP14C	ENSG00000253797	protein_coding"
"NEK3	ENSG00000136098	protein_coding"
"GTF2A1L	ENSG00000242441	protein_coding"
"POP4	ENSG00000105171	protein_coding"
"CALML5	ENSG00000178372	protein_coding"
"CALML3-AS1	ENSG00000205488	lncRNA"
"CALML3	ENSG00000178363	protein_coding"
"NEURL1B	ENSG00000214357	protein_coding"
"AIFM3	ENSG00000183773	protein_coding"
"ASB13	ENSG00000196372	protein_coding"
"DIXDC1	ENSG00000150764	protein_coding"
"ZFYVE16	ENSG00000039319	protein_coding"
"INTS6	ENSG00000102786	protein_coding"
"GDI2	ENSG00000057608	protein_coding"
"FFAR3	ENSG00000185897	protein_coding"
"RPS4XP21	ENSG00000186008	processed_pseudogene"
"RPL5P8	ENSG00000213917	processed_pseudogene"
"ACADL	ENSG00000115361	protein_coding"
"RNU6-2	ENSG00000207357	snRNA"
"RNU6-993P	ENSG00000252962	snRNA"
"FBXL4	ENSG00000112234	protein_coding"
"RNU6-967P	ENSG00000201894	snRNA"
"FRMD4B	ENSG00000114541	protein_coding"
"RN7SL154P	ENSG00000264317	misc_RNA"
"NRBF2P5	ENSG00000270427	processed_pseudogene"
"R3HDM2P2	ENSG00000216817	processed_pseudogene"
"UBE2J1	ENSG00000198833	protein_coding"
"CEP55	ENSG00000138180	protein_coding"
"FAM124B	ENSG00000124019	protein_coding"
"ARMC2	ENSG00000118690	protein_coding"
"RNA5SP323	ENSG00000212396	rRNA_pseudogene"
"FFAR4	ENSG00000186188	protein_coding"
"NCCRP1	ENSG00000188505	protein_coding"
"IFNL3P1	ENSG00000268510	unprocessed_pseudogene"
"MSRB1P1	ENSG00000213926	processed_pseudogene"
"IFNL4P1	ENSG00000272311	unprocessed_pseudogene"
"IFNL1	ENSG00000182393	protein_coding"
"PDE6C	ENSG00000095464	protein_coding"
"CA1	ENSG00000133742	protein_coding"
"GSC	ENSG00000133937	protein_coding"
"GMFG	ENSG00000130755	protein_coding"
"FRA10AC1	ENSG00000148690	protein_coding"
"HACE1	ENSG00000085382	protein_coding"
"FTH1P23	ENSG00000242960	processed_pseudogene"
"INTS6-AS1	ENSG00000236778	lncRNA"
"SETP6	ENSG00000241319	processed_pseudogene"
"CADPS	ENSG00000163618	protein_coding"
"LGI1	ENSG00000108231	protein_coding"
"RPS4XP16	ENSG00000224892	transcribed_processed_pseudogene"
"RN7SL320P	ENSG00000243900	misc_RNA"
"MGAT4B	ENSG00000161013	protein_coding"
"RN7SL413P	ENSG00000242893	misc_RNA"
"CCDC70	ENSG00000123171	protein_coding"
"GPR18	ENSG00000125245	protein_coding"
"RN7SL566P	ENSG00000241983	misc_RNA"
"PAF1	ENSG00000006712	protein_coding"
"TNFSF13B	ENSG00000102524	protein_coding"
"GRB7	ENSG00000141738	protein_coding"
"CDNF	ENSG00000185267	protein_coding"
"MED29	ENSG00000063322	protein_coding"
"BVES	ENSG00000112276	protein_coding"
"HSPA14	ENSG00000187522	protein_coding"
"ZFP36	ENSG00000128016	protein_coding"
"SFRP2	ENSG00000145423	protein_coding"
"MIR4530	ENSG00000266559	miRNA"
"PLEKHG2	ENSG00000090924	protein_coding"
"LINC02512	ENSG00000251061	lncRNA"
"FAM229B	ENSG00000203778	protein_coding"
"SOX30	ENSG00000039600	protein_coding"
"FAM184A	ENSG00000111879	protein_coding"
"CNNM2	ENSG00000148842	protein_coding"
"WASH6P	ENSG00000182484	protein_coding"
"SFXN1	ENSG00000164466	protein_coding"
"MARCKSL1P1	ENSG00000213277	processed_pseudogene"
"ST13P13	ENSG00000229256	processed_pseudogene"
"RPEL1	ENSG00000235376	protein_coding"
"INA	ENSG00000148798	protein_coding"
"PCGF6	ENSG00000156374	protein_coding"
"KCTD9P4	ENSG00000214264	processed_pseudogene"
"TRPS1	ENSG00000104447	protein_coding"
"RPS16	ENSG00000105193	protein_coding"
"RNU11-3P	ENSG00000212413	snRNA"
"FNIP2	ENSG00000052795	protein_coding"
"RNU6-1025P	ENSG00000222561	snRNA"
"MUC6	ENSG00000184956	protein_coding"
"SUPT5H	ENSG00000196235	protein_coding"
"C5orf52	ENSG00000187658	protein_coding"
"KIF4B	ENSG00000226650	protein_coding"
"CYP51A1P1	ENSG00000241095	processed_pseudogene"
"NPY1R	ENSG00000164128	protein_coding"
"CCL22	ENSG00000102962	protein_coding"
"KBTBD8	ENSG00000163376	protein_coding"
"MUC2	ENSG00000198788	protein_coding"
"C5orf46	ENSG00000178776	protein_coding"
"SLC35G1	ENSG00000176273	protein_coding"
"PPP3CC	ENSG00000120910	protein_coding"
"UBA3	ENSG00000144744	protein_coding"
"TMA16	ENSG00000198498	protein_coding"
"CXADRP3	ENSG00000265766	transcribed_processed_pseudogene"
"GRAMD4P7	ENSG00000266242	processed_pseudogene"
"POTEC	ENSG00000183206	protein_coding"
"PIPSL	ENSG00000180764	transcribed_processed_pseudogene"
"ANKRD10-IT1	ENSG00000229152	lncRNA"
"PARP1P1	ENSG00000227105	processed_pseudogene"
"LINC00368	ENSG00000225870	lncRNA"
"ARHGEF7-AS2	ENSG00000235875	lncRNA"
"ARHGEF7-IT1	ENSG00000233644	lncRNA"
"ARHGEF7-AS1	ENSG00000227352	lncRNA"
"TEX29	ENSG00000153495	protein_coding"
"HDAC1P1	ENSG00000234724	processed_pseudogene"
"PLCE1-AS1	ENSG00000268894	lncRNA"
"LIPC	ENSG00000166035	protein_coding"
"COL26A1	ENSG00000160963	protein_coding"
"NOC3L	ENSG00000173145	protein_coding"
"RPL36AP39	ENSG00000230980	processed_pseudogene"
"MIR4298	ENSG00000264493	miRNA"
"LINC01150	ENSG00000229671	lncRNA"
"MRPL23	ENSG00000214026	protein_coding"
"OR4K7P	ENSG00000265340	unprocessed_pseudogene"
"SNX19P3	ENSG00000264570	processed_pseudogene"
"TBC1D12	ENSG00000108239	protein_coding"
"OR52L1	ENSG00000183313	protein_coding"
"KRT18P58	ENSG00000254831	processed_pseudogene"
"OR56A7P	ENSG00000255481	unprocessed_pseudogene"
"OR52X1P	ENSG00000234895	unitary_pseudogene"
"OR56B4	ENSG00000180919	protein_coding"
"OR56B3P	ENSG00000180913	unprocessed_pseudogene"
"OR52L2P	ENSG00000262980	unprocessed_pseudogene"
"RN7SL862P	ENSG00000242651	misc_RNA"
"RNA5SP449	ENSG00000252680	rRNA_pseudogene"
"TXNDC2	ENSG00000168454	protein_coding"
"CTBP2P2	ENSG00000235746	processed_pseudogene"
"ATP11A-AS1	ENSG00000232684	lncRNA"
"CASC22	ENSG00000260887	lncRNA"
"MCF2L-AS1	ENSG00000235280	lncRNA"
"SERPINE3	ENSG00000253309	protein_coding"
"VAPA	ENSG00000101558	protein_coding"
"OR7E121P	ENSG00000244222	unprocessed_pseudogene"
"PPATP1	ENSG00000241293	processed_pseudogene"
"FCF1P10	ENSG00000218490	processed_pseudogene"
"NT5DC1	ENSG00000178425	protein_coding"
"CHCHD2	ENSG00000106153	protein_coding"
"MIR1343	ENSG00000251862	miRNA"
"RN7SL754P	ENSG00000239822	misc_RNA"
"PDZRN3	ENSG00000121440	protein_coding"
"ABCC2	ENSG00000023839	protein_coding"
"PIKFYVE	ENSG00000115020	protein_coding"
"RNA5SP450	ENSG00000223138	rRNA_pseudogene"
"PIEZO2	ENSG00000154864	protein_coding"
"METTL21C	ENSG00000139780	protein_coding"
"ERCC5	ENSG00000134899	protein_coding"
"FAM107A	ENSG00000168309	protein_coding"
"POU3F1	ENSG00000185668	protein_coding"
"TIMM50	ENSG00000105197	protein_coding"
"DNAJB6	ENSG00000105993	protein_coding"
"LIPF	ENSG00000182333	protein_coding"
"USP47	ENSG00000170242	protein_coding"
"SLC10A2	ENSG00000125255	protein_coding"
"CPEB4	ENSG00000113742	protein_coding"
"PSMC1P6	ENSG00000240255	processed_pseudogene"
"ZNF717	ENSG00000227124	protein_coding"
"DLGAP2	ENSG00000198010	protein_coding"
"GGACT	ENSG00000134864	protein_coding"
"EOGT	ENSG00000163378	protein_coding"
"DLL3	ENSG00000090932	protein_coding"
"ATP11A	ENSG00000068650	protein_coding"
"VWC2L	ENSG00000174453	protein_coding"
"EID2B	ENSG00000176401	protein_coding"
"KRT8P38	ENSG00000226358	processed_pseudogene"
